model,configuration,count,mean,std,min,25%,50%,75%,max
GPT-4o,Linear-Flow (Baseline),49.0,0.5163667898061656,0.19265866260203282,0.0,0.42857142857142855,0.5,0.6153846153846154,1.0
GPT-4o,Linear-Flow w/ Router,80.0,0.5673286956099457,0.2685795589771273,0.0,0.375,0.5384615384615384,0.7892857142857143,1.0
GPT-4o,Multi-Agent,105.0,0.44047979331592774,0.2813897040565077,0.0,0.2857142857142857,0.4444444444444444,0.5714285714285714,1.0
GPT-4o,Single-Agent,78.0,0.5242651767538644,0.2601737982418301,0.0,0.375,0.48333333333333334,0.6158088235294118,1.0
GPT-4o-mini,Linear-Flow (Baseline),49.0,0.45678652413346293,0.23600753780135839,0.0,0.35714285714285715,0.5,0.6,0.9230769230769231
GPT-4o-mini,Linear-Flow w/ Router,102.0,0.529743635993636,0.23252736369209698,0.0,0.38125,0.5,0.61875,1.0
GPT-4o-mini,Multi-Agent,127.0,0.46202332547283914,0.24364338217491976,0.0,0.3333333333333333,0.42857142857142855,0.5634920634920635,1.0
GPT-4o-mini,Single-Agent,103.0,0.4748523685845215,0.24291796200465168,0.0,0.3,0.45454545454545453,0.5714285714285714,1.0
