model,configuration,count,mean,std,min,25%,50%,75%,max
gpt-4o-mini-petrobras,Linear-Flow with Router,102.0,0.540148862510613,0.1885546477167695,0.0,0.4444444444444444,0.5454545454545454,0.6607142857142856,1.0
gpt-4o-mini-petrobras,Multi-Agent Supervisor,100.0,0.5061938555183826,0.24136764595437082,0.0,0.38095238095238093,0.5,0.6,1.0
gpt-4o-mini-petrobras,Single-Agent,102.0,0.5043432306646659,0.22029578103479175,0.0,0.35561497326203206,0.5,0.6299342105263158,1.0
gpt-4o-petrobras,Linear-Flow with Router,80.0,0.6156639309550707,0.24486333278793615,0.0,0.4615384615384615,0.6306818181818181,0.7692307692307692,1.0
gpt-4o-petrobras,Multi-Agent Supervisor,77.0,0.5313316694422943,0.24719299425484548,0.0,0.4,0.5185185185185186,0.6206896551724138,1.0
gpt-4o-petrobras,Single-Agent,78.0,0.5538291154500584,0.23890162466692524,0.0,0.4,0.513157894736842,0.6666666666666666,1.0
