model,configuration,count,mean,std,min,25%,50%,75%,max
GPT-4o,Linear-Flow (Baseline),49.0,0.6312754705611848,0.26090909616419883,0.0,0.46153846153846156,0.6,0.8571428571428571,1.0
GPT-4o,Linear-Flow w/ Router,80.0,0.7142220279720279,0.24818538603000945,0.0,0.5928571428571429,0.7735042735042735,0.8888888888888888,1.0
GPT-4o,Multi-Agent,105.0,0.5326523958456731,0.31322596546839343,0.0,0.36363636363636365,0.5714285714285714,0.75,1.0
GPT-4o,Single-Agent,78.0,0.6353869714163831,0.26104563178563195,0.0,0.42857142857142855,0.6666666666666666,0.8,1.0
GPT-4o-mini,Linear-Flow (Baseline),49.0,0.5162370226145736,0.2738787328270817,0.0,0.4,0.5,0.6666666666666666,1.0
GPT-4o-mini,Linear-Flow w/ Router,102.0,0.5982960394725101,0.2203680749210126,0.0,0.5,0.6,0.75,1.0
GPT-4o-mini,Multi-Agent,127.0,0.5456619495989574,0.26426655343446986,0.0,0.4,0.5384615384615384,0.7142857142857143,1.0
GPT-4o-mini,Single-Agent,103.0,0.59706545031018,0.25974657888744906,0.0,0.5,0.6,0.75,1.0
