model,configuration,mean,std,min,25%,50%,75%,max
GPT-4o,Linear-Flow (Baseline),0.5532993216580839,0.2013373443223567,0.0,0.42857142857142855,0.5454545454545454,0.6666666666666666,1.0
GPT-4o,Linear-Flow w/ Router,0.6156639309550707,0.24486333278793615,0.0,0.4615384615384615,0.6306818181818181,0.7692307692307692,1.0
GPT-4o,Multi-Agent,0.4702994771375378,0.2842211619664192,0.0,0.3157894736842105,0.5,0.608695652173913,1.0
GPT-4o,Single-Agent,0.5538291154500584,0.23890162466692524,0.0,0.4,0.513157894736842,0.6666666666666666,1.0
GPT-4o-mini,Linear-Flow (Baseline),0.46723009890765754,0.2299513797683906,0.0,0.4,0.5,0.6,0.9230769230769231
GPT-4o-mini,Linear-Flow w/ Router,0.540148862510613,0.1885546477167695,0.0,0.4444444444444444,0.5454545454545454,0.6607142857142856,1.0
GPT-4o-mini,Multi-Agent,0.48417354422218545,0.23604490839925354,0.0,0.36363636363636365,0.48,0.5962962962962962,1.0
GPT-4o-mini,Single-Agent,0.5047423696432084,0.219250664058515,0.0,0.3582887700534759,0.5,0.6282894736842106,1.0
