configuration,model,question_index,best,worst,average,count,std,median,best_of_3_mean
Linear-Flow with Router,gpt-4o-mini-petrobras,1,0.75,0.5,0.615530303030303,4,0.11395158300372217,0.6060606060606061,0.6540404040404041
Linear-Flow with Router,gpt-4o-mini-petrobras,14e,0.7142857142857143,0.4615384615384615,0.6040521978021978,4,0.10492668438065382,0.6201923076923077,0.6515567765567766
Linear-Flow with Router,gpt-4o-mini-petrobras,14f,0.6666666666666666,0.5,0.5946969696969697,4,0.08515007727316846,0.606060606060606,0.6262626262626262
Linear-Flow with Router,gpt-4o-mini-petrobras,15,0.43478260869565216,0.26666666666666666,0.3707404701010839,4,0.07872734952229103,0.3907563025210084,0.4054317379125563
Linear-Flow with Router,gpt-4o-mini-petrobras,16,0.6666666666666665,0.5,0.5916666666666666,4,0.06871842709362765,0.6,0.6222222222222221
Linear-Flow with Router,gpt-4o-mini-petrobras,17,0.7058823529411765,0.5,0.5628138974888202,5,0.0823575679100715,0.5263157894736842,0.5959178993234721
Linear-Flow with Router,gpt-4o-mini-petrobras,18,0.625,0.0,0.28125,4,0.32874445495957294,0.25,0.375
Linear-Flow with Router,gpt-4o-mini-petrobras,19a,0.4444444444444445,0.3157894736842105,0.37720133667502087,4,0.06880874875902249,0.3742857142857143,0.3976719576719577
Linear-Flow with Router,gpt-4o-mini-petrobras,19b,0.4,0.3529411764705882,0.3787114845938375,4,0.019385156709409507,0.3809523809523809,0.38730158730158726
Linear-Flow with Router,gpt-4o-mini-petrobras,2,0.375,0.25,0.3382352941176471,4,0.05973557650467619,0.36397058823529416,0.36764705882352944
Linear-Flow with Router,gpt-4o-mini-petrobras,27a,0.6666666666666666,0.5925925925925927,0.6111111111111112,4,0.037037037037036986,0.5925925925925927,0.617283950617284
Linear-Flow with Router,gpt-4o-mini-petrobras,27b,0.47619047619047616,0.4444444444444444,0.45238095238095233,4,0.01587301587301588,0.4444444444444444,0.45502645502645506
Linear-Flow with Router,gpt-4o-mini-petrobras,28,1.0,0.0,0.7916666666666666,6,0.40052049468993056,1.0,1.0
Linear-Flow with Router,gpt-4o-mini-petrobras,29c,0.6428571428571429,0.5806451612903226,0.6216510408390276,6,0.02645853464492791,0.6317733990147784,0.6428571428571428
Linear-Flow with Router,gpt-4o-mini-petrobras,29d,0.56,0.39999999999999997,0.5066666666666667,6,0.0826236447190916,0.56,0.56
Linear-Flow with Router,gpt-4o-mini-petrobras,3,0.6666666666666666,0.6,0.6371794871794871,4,0.03462329760774201,0.641025641025641,0.6495726495726495
Linear-Flow with Router,gpt-4o-mini-petrobras,30a,0.5,0.5,0.5,4,0.0,0.5,0.5
Linear-Flow with Router,gpt-4o-mini-petrobras,30b,0.5,0.5,0.5,4,0.0,0.5,0.5
Linear-Flow with Router,gpt-4o-mini-petrobras,31a,0.6666666666666666,0.5,0.625,4,0.08333333333333334,0.6666666666666666,0.6666666666666666
Linear-Flow with Router,gpt-4o-mini-petrobras,31b,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,0.0,0.6666666666666666,0.6666666666666666
Linear-Flow with Router,gpt-4o-mini-petrobras,32d,0.33333333333333326,0.0,0.19999999999999996,3,0.17638342073763935,0.26666666666666666,0.19999999999999996
Linear-Flow with Router,gpt-4o-mini-petrobras,33a,0.5714285714285715,0.5,0.5357142857142857,4,0.04123930494211617,0.5357142857142857,0.5476190476190476
Linear-Flow with Router,gpt-4o-mini-petrobras,33b,0.6,0.5,0.525,4,0.04999999999999998,0.5,0.5333333333333333
Linear-Flow with Router,gpt-4o-mini-petrobras,35b,0.8571428571428571,0.7692307692307693,0.8351648351648351,4,0.04395604395604393,0.8571428571428571,0.8571428571428571
Linear-Flow with Router,gpt-4o-petrobras,1,0.75,0.6,0.65,3,0.08660254037844387,0.6,0.65
Linear-Flow with Router,gpt-4o-petrobras,14e,0.6666666666666667,0.6666666666666666,0.6666666666666666,3,7.850462293418876e-17,0.6666666666666666,0.6666666666666666
Linear-Flow with Router,gpt-4o-petrobras,14f,0.6666666666666666,0.5714285714285714,0.6349206349206349,3,0.0549857399228215,0.6666666666666666,0.6349206349206349
Linear-Flow with Router,gpt-4o-petrobras,15,0.6,0.4444444444444444,0.5442265795206972,3,0.08661384379189177,0.5882352941176471,0.5442265795206972
Linear-Flow with Router,gpt-4o-petrobras,16,0.7272727272727272,0.5,0.609090909090909,3,0.11390876441946962,0.6,0.609090909090909
Linear-Flow with Router,gpt-4o-petrobras,17,0.4444444444444444,0.25000000000000006,0.3658307907449784,4,0.08750333269117773,0.38443935926773454,0.40444105432663785
Linear-Flow with Router,gpt-4o-petrobras,18,0.625,0.42857142857142855,0.533008658008658,3,0.09880395237086478,0.5454545454545454,0.533008658008658
Linear-Flow with Router,gpt-4o-petrobras,19a,0.4,0.2857142857142857,0.36190476190476195,3,0.06598288790738581,0.4,0.36190476190476195
Linear-Flow with Router,gpt-4o-petrobras,19b,0.4444444444444444,0.38095238095238093,0.4084656084656085,3,0.03258159644093259,0.4,0.4084656084656085
Linear-Flow with Router,gpt-4o-petrobras,2,0.5714285714285714,0.4615384615384615,0.5347985347985348,3,0.06344508452633252,0.5714285714285714,0.5347985347985348
Linear-Flow with Router,gpt-4o-petrobras,27a,0.8000000000000002,0.7586206896551724,0.7759504862953138,3,0.021492505187251727,0.7692307692307692,0.7759504862953138
Linear-Flow with Router,gpt-4o-petrobras,27b,0.7826086956521738,0.6086956521739131,0.6758893280632411,3,0.09345130764851291,0.6363636363636364,0.6758893280632411
Linear-Flow with Router,gpt-4o-petrobras,28,1.0,0.761904761904762,0.868017316017316,5,0.10517847841518291,0.8181818181818182,0.9260606060606061
Linear-Flow with Router,gpt-4o-petrobras,29c,0.8421052631578948,0.6666666666666666,0.734388418598945,5,0.07422939517450622,0.7272727272727273,0.7795362532204638
Linear-Flow with Router,gpt-4o-petrobras,29d,0.6956521739130435,0.5555555555555556,0.6231613319899765,5,0.05362632952338321,0.6363636363636364,0.6573386034255599
Linear-Flow with Router,gpt-4o-petrobras,3,0.6666666666666666,0.4615384615384615,0.5299145299145299,3,0.11843082444915398,0.4615384615384615,0.5299145299145299
Linear-Flow with Router,gpt-4o-petrobras,30a,1.0,1.0,1.0,3,0.0,1.0,1.0
Linear-Flow with Router,gpt-4o-petrobras,30b,1.0,0.6666666666666666,0.8888888888888888,3,0.19245008972987526,1.0,0.8888888888888888
Linear-Flow with Router,gpt-4o-petrobras,31a,1.0,0.6666666666666666,0.8888888888888888,3,0.19245008972987526,1.0,0.8888888888888888
Linear-Flow with Router,gpt-4o-petrobras,31b,1.0,1.0,1.0,3,0.0,1.0,1.0
Linear-Flow with Router,gpt-4o-petrobras,32d,0.5714285714285715,0.0,0.3443223443223444,3,0.30321175218424734,0.4615384615384615,0.3443223443223444
Linear-Flow with Router,gpt-4o-petrobras,33a,0.3333333333333333,0.0,0.20634920634920637,3,0.1802828046285801,0.2857142857142857,0.20634920634920637
Linear-Flow with Router,gpt-4o-petrobras,33b,0.5,0.36363636363636365,0.4545454545454546,3,0.0787295821622217,0.5,0.4545454545454546
Linear-Flow with Router,gpt-4o-petrobras,35b,0.7692307692307693,0.0,0.38461538461538464,4,0.44411559168432757,0.38461538461538464,0.5128205128205129
Multi-Agent Supervisor,gpt-4o-mini-petrobras,1,0.4444444444444445,0.3157894736842105,0.37755847953216376,4,0.05260619108281308,0.375,0.39814814814814814
Multi-Agent Supervisor,gpt-4o-mini-petrobras,14e,0.6666666666666666,0.4615384615384615,0.5787545787545787,4,0.08729945265797057,0.5934065934065934,0.6178266178266179
Multi-Agent Supervisor,gpt-4o-mini-petrobras,14f,0.6,0.5,0.5613636363636363,4,0.048318844603339337,0.5727272727272728,0.5818181818181818
Multi-Agent Supervisor,gpt-4o-mini-petrobras,15,0.5,0.36363636363636365,0.4063852813852814,4,0.06294137578963545,0.380952380952381,0.42063492063492064
Multi-Agent Supervisor,gpt-4o-mini-petrobras,16,0.6666666666666665,0.6,0.6333333333333333,4,0.03849001794597501,0.6333333333333333,0.6444444444444444
Multi-Agent Supervisor,gpt-4o-mini-petrobras,17,0.64,0.48,0.5544360902255638,4,0.06816991006733804,0.5488721804511277,0.5792481203007518
Multi-Agent Supervisor,gpt-4o-mini-petrobras,18,0.5714285714285715,0.5,0.5357142857142858,4,0.04123930494211616,0.5357142857142858,0.5476190476190477
Multi-Agent Supervisor,gpt-4o-mini-petrobras,19a,0.48,0.3636363636363637,0.42150022391401704,4,0.04788824410201447,0.4211822660098522,0.44078817733990144
